S.No,Post,Caste,Count
769,all,सेलीङ,1
770,all,(थारु),14
771,all,डी.सी.,1
772,all,छुस्यावाग,1
773,all,सरबरीया,1
774,all,राजवँशी,1
775,all,कुजर्नी,1
776,all,तात्‍मा,1
777,all,ढकाल,110
778,all,लामा(तमाङ्ग),1
779,all,गूरुङ्ग,1
780,all,(मल्ल),3
781,all,/भण्डारी,1
782,all,केवट,43
783,all,भण्डारि,2
784,all,बस्तेत,1
785,all,धामी,156
786,all,रसाईली,3
787,all,पन्दाक,1
788,all,किंगरिया,1
789,all,के.शी,1
790,all,पौख्रेल,1
791,all,के.सी..,1
792,all,गुभाजु,2
793,all,तमाङ्ग,16
794,all,पाख्रिन,16
795,all,वम्जन,2
796,all,सुनार(कालीकोटे),1
797,all,ठोकर,2
798,all,(यादव),1
799,all,ताँती,3
800,all,गाेतामे,1
801,all,वुढा,52
802,all,सोङमेन(राई),1
803,all,वाँतर,3
804,all,खङ्ग,1
805,all,शारु,2
806,all,भित्रीकोटि,1
807,all,हजरा,11
808,all,मगर,767
809,all,(न्‍यौपाने),1
810,all,डुम्रे,4
811,all,सलामी,3
812,all,चदरा,1
813,all,वोटे,2
814,all,पछेरा,1
815,all,मौनी,1
816,all,कंकर,1
817,all,पोखरेल,70
818,all,सिग्‍दार,1
819,all,वढई,1
820,all,सोनार(परियार),1
821,all,लहार,1
822,all,(च्यामे),1
823,all,जि.टी,1
824,all,हुसैन,6
825,all,भूल,9
826,all,विन,26
827,all,गजुरेल,12
828,all,मुर्मु,2
829,all,गद्दी,2
830,all,योन्‍जन,1
831,all,स्याङ्गवो,1
832,all,(आठपहरिया),1
833,all,अग्रवाल,5
834,all,घिमीरे,11
835,all,(धमला),1
836,all,स्याङवा,1
837,all,शाक्‍य,2
838,all,गोरा,1
839,all,धालाछे,1
840,all,बेल्बासे,3
841,all,कलेल,1
842,all,गुरुङ्,8
843,all,बोहोरा,28
844,all,मसहर,1
845,all,बड्‍ाल,1
846,all,वकिल,1
847,all,वादी,7
848,all,(लिम्वु),3
849,all,खड्का,362
850,all,क्षेत्री,241
851,all,बराइली,9
852,all,लुईटेल,7
853,all,(वली),1
854,all,बुमी,3
855,all,जोलहा,1
856,all,शर्मा(भुसाल),1
857,all,यादब,40
858,all,बानो,1
859,all,कथवनियाँ,1
860,all,कँडेल,7
861,all,लटौला,1
862,all,पचभैया,1
863,all,कल्वार,2
864,all,खातरन,1
865,all,बस्नेत,181
866,all,थपलीया,1
867,all,सिर्पाली,4
868,all,सोनी,2
869,all,खापुङ्ग,2
870,all,वलाल,1
871,all,दमाई(नेपाली),1
872,all,बुढाथोकी(खड्का),1
873,all,तसिजु,1
874,all,हिमडुङ,1
875,all,सुब्वा,3
876,all,हेमरम,1
877,all,केबट,1
878,all,मुसहरी,1
879,all,लोप्चन,11
880,all,बरामु,4
881,all,सर्की,1
882,all,(कामी)विश्वकर्मा,1
883,all,लोथ्याल,2
884,all,मखिया,1
885,all,मलासी,2
886,all,वन्जन,1
887,all,बुडाथोकी,2
888,all,पाण्‍डे,20
889,all,अवाले,2
890,all,लोवा,1
891,all,(कुलुङ्ग),1
892,all,वातर्नी,1
893,all,ढुङ्गाना,12
894,all,(रावल),1
895,all,इदिङगो,1
896,all,भोटे(ल्होमी),1
897,all,/मगर,1
898,all,माया,4
899,all,दुलाल(अच्छामी),1
900,all,कुसुले,1
901,all,मोची,38
902,all,हलवाई,2
903,all,धुनियाईन,1
904,all,घले,83
905,all,तिमल्‍सिना,3
906,all,सिंजाली,25
907,all,(घिमिरे),3
908,all,खतवे,1
909,all,सिलवाल,16
910,all,(रम्तेल),1
911,all,तिम्‍िसना,1
912,all,पांगलटारे,1
913,all,तामाङ,624
914,all,वाईवा,10
915,all,ढोली,18
916,all,बन्टाकी,1
917,all,मन्याल,2
918,all,सत्याल,5
919,all,रखाल,3
920,all,सुनार(के.सी.),1
921,all,निङ्लेकु,1
922,all,गोराथोकी,1
923,all,ज्याख्व,1
924,all,टमट्टा,13
925,all,(लकान्दी),1
926,all,ढाडी,1
927,all,लामा(तामाङ),2
928,all,वि‌‌.क.,1
929,all,उलुङ्गे,1
930,all,(महर्जन),2
931,all,(सुब्बा),2
932,all,मौरति,1
933,all,ध्यार,3
934,all,इनुस,1
935,all,बान्तवा,1
936,all,अवस्थी/रोस्यारा,1
937,all,लामा,340
938,all,गतराज,1
939,all,वि‌‌‍‍‍‍‍‍‌‍‍.क.,1
940,all,गहतराज,6
941,all,टमटा,23
942,all,पराङ्देन,1
943,all,उमैद,1
944,all,हारुन,2
945,all,गफार,2
946,all,राई(थुलुङ),1
947,all,खड्का(के.सी.),1
948,all,मंग्रान्ती,1
949,all,(बिसुंके),1
950,all,चितौरे,1
951,all,शिवा,4
952,all,लुइंटेल,1
953,all,वौडेलमगर,1
954,all,पन्त(भण्डारी),1
955,all,वजगांइ,1
956,all,ब्राहमण,1
957,all,चौरासिया,1
958,all,वाग्‍ले,2
959,all,महतो,250
960,all,गर्बुजा,9
961,all,कालोकोटे(कामि),1
962,all,कहाँर,6
963,all,कपाडी,1
964,all,वस्‍ती,3
965,all,धोवि,1
966,all,जेठार,1
967,all,(जोशी)पन्त,1
968,all,तोलङगे,1
969,all,मल्ल,99
970,all,(घर्ती),3
971,all,सुत्पराई,1
972,all,तत्मीन,4
973,all,धांगर,1
974,all,गुरुवाचार्य,1
975,all,चौरेल,1
976,all,लिङदम,1
