S.No,LocalBodyName,WardNo,Post,District,State,Winner,GovernmentAllianceVote,UMLVote
156,आँधीखोला गाउँपालिका,5,वडा अध्यक्ष,स्याङ्जा,4,कृष्ण प्रसाद पनेरु,547,876
157,महाशिला गाउँपालिका,4,वडा अध्यक्ष,पर्वत,4,पुर्ण बहादुर मल्ल,353,670
158,रिब्दिकोट गाउँपालिका,5,वडा अध्यक्ष,पाल्पा,5,कृष्ण बहादुर थापा,361,503
159,धुर्कोट गाउँपालिका,3,वडा अध्यक्ष,गुल्मी,5,विष्णु बहादुर थापा श्रीस,769,925
160,जयपृथ्वी नगरपालिका,7,वडा अध्यक्ष,बझाङ्ग,7,हरिचन्द्र जोशी,469,483
161,मेची नगर नगरपालिका,3,वडा अध्यक्ष,झापा,1,हर्क बहादुर बस्नेत,1386,1412
162,चुरे गाउँपालिका,5,वडा अध्यक्ष,कैलाली,7,नर बहादुर तामाङ,466,488
163,शुक्लागण्डकी नगरपालिका,5,वडा अध्यक्ष,तनहुँ,4,दिर्घ बहादुर थापा,667,983
164,महावै गाउँपालिका,4,वडा अध्यक्ष,कालिकोट,6,बिबिखण शाही,168,192
165,बुटवल उपमहानगरपालिका,14,वडा अध्यक्ष,रुपन्देही,5,दधिराम न्‍यौपाने,818,972
166,आँधीखोला गाउँपालिका,2,वडा अध्यक्ष,स्याङ्जा,4,रामचन्द्र प्रसाद पौडेल,533,916
167,गल्याङ नगरपालिका,1,वडा अध्यक्ष,स्याङ्जा,4,गणेश प्रसाद बस्याल,683,830
168,पुतलीबजार नगरपालिका,8,वडा अध्यक्ष,स्याङ्जा,4,याम बहादुर शाही,387,412
169,मर्स्याङदी गाउँपालिका,4,वडा अध्यक्ष,लमजुंग,4,सुमन गुरुङ,527,549
170,भानु नगरपालिका,4,वडा अध्यक्ष,तनहुँ,4,पूर्ण बहादुर लौडारी भाट,759,791
171,मोदी गाउँपालिका,6,वडा अध्यक्ष,पर्वत,4,विमल लामीछाने,661,1249
172,वित्थडचिर गाउँपालिका,4,वडा अध्यक्ष,बझाङ्ग,7,कलक बहादुर बोहरा,238,542
173,बीरेन्द्रनगर नगरपालिका,4,वडा अध्यक्ष,सुर्खेत,6,निलकण्ठ खनाल,1171,1459
174,नाम्खा गाउँपालिका,5,वडा अध्यक्ष,हुम्ला,6,साङ्ग्या तामाङ,51,73
175,मुड्केचुला गाउँपालिका,2,वडा अध्यक्ष,डोल्पा,6,धन बहादुर सार्की,79,81
176,हरिवन नगरपालिका,5,वडा अध्यक्ष,सर्लाही,2,नागेन्द्र कुमार साह,570,718
177,तारकेश्वर गाउँपालिका,2,वडा अध्यक्ष,नुवाकोट,3,समर बहादुर आलेमगर,557,673
178,देवदह नगरपालिका,7,वडा अध्यक्ष,रुपन्देही,5,पदम बहादुर थापा,1175,1350
179,सैनामैना नगरपालिका,3,वडा अध्यक्ष,रुपन्देही,5,रत्‍न बहादुर पौडेल खत्री,679,1250
180,मंगला गाउँपालिका,3,वडा अध्यक्ष,म्याग्दी,4,कविन्द्र रोका मगर,592,605
181,हिलिहाङ गाउँपालिका,7,वडा अध्यक्ष,पाँचथर,1,तीर्थ राज तिम्सिना,541,719
182,बुढानिलकण्ठ नगरपालिका,2,वडा अध्यक्ष,काठमाडौं,3,राजेन्‍द्र खडका,918,1041
183,थासाङ गाउँपालिका,2,वडा अध्यक्ष,मुस्तांग,4,नर प्रसाद हिराचन,149,206
184,बुढीगंगा नगरपालिका,3,वडा अध्यक्ष,बाजुरा,7,खडक बहादुर अधिकारी,219,482
185,पोखरा लेखनाथ महानगरपालिका,5,वडा अध्यक्ष,कास्की,4,धन बहादुर नेपाली,1363,1768
186,धवलागिरी गाउँपालिका,6,वडा अध्यक्ष,म्याग्दी,4,राजाराम उपाध्याय,192,397
187,षडानन्द नगरपालिका,5,वडा अध्यक्ष,भोजपुर,1,विनेश राई,364,394
188,शैलुङ  गाउँपालिका,4,वडा अध्यक्ष,दोलखा,3,भरत प्रसाद ढुङ्गेल,399,811
189,भीमफेदी गाउँपालिका,8,वडा अध्यक्ष,मकवानपुर,3,जगत मान घिसिङ,272,514
190,तानसेन नगरपालिका,3,वडा अध्यक्ष,पाल्पा,5,महेश लाल शाक्य,606,619
191,थलारा गाउँपालिका,9,वडा अध्यक्ष,बझाङ्ग,7,मोहन राज जैशी,285,483
192,हुप्सेकोट गाउँपालिका,4,वडा अध्यक्ष,नवलपरासी (बर्दघाट सुस्ता पूर्व),4,रोसन थापा,1101,1113
193,त्रिवेणी नलगाड नगरपालिका,9,वडा अध्यक्ष,जाजरकोट,6,विष्‍णु वि क,166,330
194,रेसुङ्गा नगरपालिका,9,वडा अध्यक्ष,गुल्मी,5,नारन सुनार,382,473
195,दुर्गाथली गाउँपालिका,3,वडा अध्यक्ष,बझाङ्ग,7,दल बहादुर धामी,291,316
196,केरावारी गाउँपालिका,10,वडा अध्यक्ष,मोरङ्ग,1,जंग राज खवास,532,639
197,विदुर नगरपालिका,9,वडा अध्यक्ष,नुवाकोट,3,सनी चित्रकार,863,933
198,धरान उपमहानगरपालिका,6,वडा अध्यक्ष,सुनसरी,1,भुवान सिंह बस्नेत,1311,1420
199,भोक्राहा गाउँपालिका,5,वडा अध्यक्ष,सुनसरी,1,बसरुदिन मन्सुरी,151,378
200,बागलुङ नगरपालिका,1,वडा अध्यक्ष,बागलुङ,4,दुर्गे सार्की,422,599
201,निस्दी गाउँपालिका,6,वडा अध्यक्ष,पाल्पा,5,मेख बहादुर सुनारी,138,796
202,बैजनाथ गाउँपालिका,3,वडा अध्यक्ष,बाँके,5,रामचरण थारु,936,1152
203,कावासोती नगरपालिका,10,वडा अध्यक्ष,नवलपरासी (बर्दघाट सुस्ता पूर्व),4,टेक नारायण महतो,527,606
